相机位点名称,deploymentName
监测员,setupBy
纬度,latitude
经度,longitude
"位点来源(估计GPS/精确GPS)",locationSource
相机工作日时长,cameraWorkingDays
开始时间,deploymentStart
结束时间,deploymentEnd
备注,deploymentComments
照片时间是否有问题,timestampProblem
参考年份,timestampRef
时间跳错1开始时间,exifTimeProblem1Start
时间跳错1结束时间,exifTimeProblem1End
时间跳错1是否经过校正,exifTimeProblem1Revised
时间跳错1参考年份,exifTimeProblem1Ref
"其它问题1(相机位置移动/照片损坏/未有效工作)",otherProblem1
其它问题1开始时间,otherProblem1Start
其它问题1结束时间,otherProblem1End
时间跳错2开始时间,exifTimeProblem2Start
时间跳错2结束时间,exifTimeProblem2End
时间跳错2是否经过校正,exifTimeProblem2Revised
时间跳错2参考年份,exifTimeProblem2Ref
"其它问题2(相机位置移动/照片损坏/未有效工作)",otherProblem2
其它问题2开始时间,otherProblem2Start
其它问题2结束时间,otherProblem2End